ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
W_TST_1084	298.16208095	0.00000000	21.63187022	0.00000000	-0.88161600	0.47196740	0.00000000	0.36864167	0.92957158	0.00000000	83.46978927
W_TST_1083	298.16208095	0.00000000	266.95832948	0.00000000	-0.88161600	0.47196740	0.00000000	-0.99859121	-0.05306223	0.00000000	31.20375147
W_TST_1082	298.16208095	0.00000000	50.05527851	0.00000000	-0.88161600	0.47196740	0.00000000	0.76666424	0.64204824	0.00000000	111.89319757
W_TST_1081	298.16208095	0.00000000	52.49557954	0.00000000	-0.88161600	0.47196740	0.00000000	0.79330637	0.60882264	0.00000000	114.33349859
W_TST_1080	298.16208095	0.00000000	239.66680636	0.00000000	-0.88161600	0.47196740	0.00000000	-0.86310311	-0.50502774	0.00000000	58.49527459
W_TST_1079	298.16208095	0.00000000	266.49485942	0.00000000	-0.88161600	0.47196740	0.00000000	-0.99812932	-0.06113809	0.00000000	31.66722153
W_TST_1078	298.16208095	0.00000000	241.65388331	0.00000000	-0.88161600	0.47196740	0.00000000	-0.88009548	-0.47479674	0.00000000	56.50819765
W_TST_1077	298.16208095	0.00000000	255.75233067	0.00000000	-0.88161600	0.47196740	0.00000000	-0.96924092	-0.24611387	0.00000000	42.40975029
W_TST_1076	298.16208095	0.00000000	208.33389523	0.00000000	-0.88161600	0.47196740	0.00000000	-0.47460900	-0.88019674	0.00000000	89.82818573
W_TST_1075	298.16208095	0.00000000	256.73775458	0.00000000	-0.88161600	0.47196740	0.00000000	-0.97333025	-0.22940842	0.00000000	41.42432638
W_TST_1074	298.16208095	0.00000000	51.89542849	0.00000000	-0.88161600	0.47196740	0.00000000	0.78688579	0.61709866	0.00000000	113.73334754
W_TST_1073	298.16208095	0.00000000	66.56864586	0.00000000	-0.88161600	0.47196740	0.00000000	0.91753716	0.39765006	0.00000000	128.40656492
W_TST_1072	298.16208095	0.00000000	56.52282880	0.00000000	-0.88161600	0.47196740	0.00000000	0.83410567	0.55160469	0.00000000	118.36074786
W_TST_1071	298.16208095	0.00000000	6.34525670	0.00000000	-0.88161600	0.47196740	0.00000000	0.11051939	0.99387397	0.00000000	68.18317575
W_TST_1070	298.16208095	0.00000000	280.70466968	0.00000000	-0.88161600	0.47196740	0.00000000	-0.98259766	0.18574670	0.00000000	17.45741127
W_TST_1069	298.16208095	0.00000000	257.02767504	0.00000000	-0.88161600	0.47196740	0.00000000	-0.97447861	-0.22448039	0.00000000	41.13440592
W_TST_1068	298.16208095	0.00000000	235.07757730	0.00000000	-0.88161600	0.47196740	0.00000000	-0.81992790	-0.57246680	0.00000000	63.08450366
W_TST_1067	298.16208095	0.00000000	252.05648500	0.00000000	-0.88161600	0.47196740	0.00000000	-0.95136070	-0.30807925	0.00000000	46.10559596
W_TST_1066	298.16208095	0.00000000	246.17551423	0.00000000	-0.88161600	0.47196740	0.00000000	-0.91478713	-0.40393627	0.00000000	51.98656672
W_TST_1065	298.16208095	0.00000000	250.05204159	0.00000000	-0.88161600	0.47196740	0.00000000	-0.94000289	-0.34116648	0.00000000	48.11003936
W_TST_1064	298.16208095	0.00000000	250.60182673	0.00000000	-0.88161600	0.47196740	0.00000000	-0.94323325	-0.33213106	0.00000000	47.56025423
W_TST_1063	298.16208095	0.00000000	57.39905217	0.00000000	-0.88161600	0.47196740	0.00000000	0.84244348	0.53878472	0.00000000	119.23697123
W_TST_1062	298.16208095	0.00000000	24.10914851	0.00000000	-0.88161600	0.47196740	0.00000000	0.40847621	0.91276897	0.00000000	85.94706756
W_TST_1061	298.16208095	0.00000000	72.15202775	0.00000000	-0.88161600	0.47196740	0.00000000	0.95187311	0.30649239	0.00000000	133.98994680
W_TST_1060	298.16208095	0.00000000	241.17660390	0.00000000	-0.88161600	0.47196740	0.00000000	-0.87610989	-0.48211146	0.00000000	56.98547706
W_TST_1059	298.16208095	0.00000000	299.78122092	0.00000000	-0.88161600	0.47196740	0.00000000	-0.86792829	0.49668952	0.00000000	1.61913996
W_TST_1058	298.16208095	0.00000000	26.07656159	0.00000000	-0.88161600	0.47196740	0.00000000	0.43957177	0.89820747	0.00000000	87.91448064
W_TST_1057	298.16208095	0.00000000	59.87137583	0.00000000	-0.88161600	0.47196740	0.00000000	0.86490076	0.50194289	0.00000000	121.70929489
W_TST_1056	298.16208095	0.00000000	250.90582994	0.00000000	-0.88161600	0.47196740	0.00000000	-0.94498220	-0.32712175	0.00000000	47.25625102
W_TST_1055	298.16208095	0.00000000	41.05631186	0.00000000	-0.88161600	0.47196740	0.00000000	0.65680046	0.75406442	0.00000000	102.89423091
W_TST_1054	298.16208095	0.00000000	179.99177079	0.00000000	-0.88161600	0.47196740	0.00000000	0.00014363	-0.99999999	0.00000000	118.17031016
W_TST_1053	298.16208095	0.00000000	224.61529744	0.00000000	-0.88161600	0.47196740	0.00000000	-0.70234313	-0.71183855	0.00000000	73.54678352
W_TST_1052	298.16208095	0.00000000	51.53442778	0.00000000	-0.88161600	0.47196740	0.00000000	0.78298207	0.62204427	0.00000000	113.37234684
