D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
228.31869302	0.00000000	14.63578421	0.00000000	-0.74685518	-0.66498673	0.00000000	0.25267369	0.96755155	0.00000000	146.31709120
228.31869302	0.00000000	219.86810651	0.00000000	-0.74685518	-0.66498673	0.00000000	-0.64102249	-0.76752209	0.00000000	8.45058651
228.31869302	0.00000000	235.62742098	0.00000000	-0.74685518	-0.66498673	0.00000000	-0.82538379	-0.56457205	0.00000000	7.30872796
228.31869302	0.00000000	29.88092722	0.00000000	-0.74685518	-0.66498673	0.00000000	0.49819914	0.86706264	0.00000000	161.56223421
228.31869302	0.00000000	237.06020921	0.00000000	-0.74685518	-0.66498673	0.00000000	-0.83924244	-0.54375742	0.00000000	8.74151619
228.31869302	0.00000000	231.13140927	0.00000000	-0.74685518	-0.66498673	0.00000000	-0.77858728	-0.62753633	0.00000000	2.81271625
228.31869302	0.00000000	188.03867433	0.00000000	-0.74685518	-0.66498673	0.00000000	-0.13984149	-0.99017390	0.00000000	40.28001869
228.31869302	0.00000000	57.41216345	0.00000000	-0.74685518	-0.66498673	0.00000000	0.84256675	0.53859193	0.00000000	170.90652957
228.31869302	0.00000000	231.63480804	0.00000000	-0.74685518	-0.66498673	0.00000000	-0.78407067	-0.62067156	0.00000000	3.31611502
228.31869302	0.00000000	62.65796376	0.00000000	-0.74685518	-0.66498673	0.00000000	0.88828050	0.45930138	0.00000000	165.66072926
228.31869302	0.00000000	215.52621529	0.00000000	-0.74685518	-0.66498673	0.00000000	-0.58107539	-0.81384974	0.00000000	12.79247774
