D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
219.41321114	0.00000000	267.47612255	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.99902996	-0.04403573	0.00000000	48.06291141
219.41321114	0.00000000	252.66296728	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.95456839	-0.29799191	0.00000000	33.24975614
219.41321114	0.00000000	184.17792742	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.07285399	-0.99734262	0.00000000	35.23528372
219.41321114	0.00000000	223.12287402	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.68356522	-0.72988944	0.00000000	3.70966288
219.41321114	0.00000000	214.92213584	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.57246269	-0.81993077	0.00000000	4.49107530
219.41321114	0.00000000	305.97258367	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.80929816	0.58739807	0.00000000	86.55937253
219.41321114	0.00000000	330.43123328	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.49346781	0.86976406	0.00000000	111.01802214
219.41321114	0.00000000	217.39675796	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.60733089	-0.79444899	0.00000000	2.01645318
219.41321114	0.00000000	3.64465362	0.00000000	-0.63490867	-0.77258720	0.00000000	0.06356832	0.99797749	0.00000000	144.23144249
219.41321114	0.00000000	46.27722503	0.00000000	-0.63490867	-0.77258720	0.00000000	0.72269246	0.69116973	0.00000000	173.13598611
219.41321114	0.00000000	141.63185718	0.00000000	-0.63490867	-0.77258720	0.00000000	0.62071194	-0.78403870	0.00000000	77.78135396
219.41321114	0.00000000	66.88180788	0.00000000	-0.63490867	-0.77258720	0.00000000	0.91969688	0.39262915	0.00000000	152.53140326
219.41321114	0.00000000	300.38007731	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.86268957	0.50573382	0.00000000	80.96686617
219.41321114	0.00000000	236.78490789	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.83662005	-0.54778361	0.00000000	17.37169675
219.41321114	0.00000000	227.89479602	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.74191495	-0.67049401	0.00000000	8.48158488
219.41321114	0.00000000	249.65452042	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.93761325	-0.34768001	0.00000000	30.24130928
219.41321114	0.00000000	82.44018584	0.00000000	-0.63490867	-0.77258720	0.00000000	0.99130806	0.13156114	0.00000000	136.97302530
219.41321114	0.00000000	80.28006597	0.00000000	-0.63490867	-0.77258720	0.00000000	0.98564479	0.16883231	0.00000000	139.13314517
219.41321114	0.00000000	103.50641748	0.00000000	-0.63490867	-0.77258720	0.00000000	0.97234377	-0.23355427	0.00000000	115.90679366
219.41321114	0.00000000	99.99796788	0.00000000	-0.63490867	-0.77258720	0.00000000	0.98481391	-0.17361325	0.00000000	119.41524326
219.41321114	0.00000000	213.26459142	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.54850619	-0.83614650	0.00000000	6.14861972
219.41321114	0.00000000	249.87292367	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.93893174	-0.34410345	0.00000000	30.45971253
219.41321114	0.00000000	193.15234458	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.22754102	-0.97376850	0.00000000	26.26086656
219.41321114	0.00000000	54.80205650	0.00000000	-0.63490867	-0.77258720	0.00000000	0.81716559	0.57640299	0.00000000	164.61115464
219.41321114	0.00000000	235.57448350	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.82486181	-0.56533441	0.00000000	16.16127236
219.41321114	0.00000000	222.58017887	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.67662128	-0.73633120	0.00000000	3.16696773
219.41321114	0.00000000	231.76121524	0.00000000	-0.63490867	-0.77258720	0.00000000	-0.78543810	-0.61894022	0.00000000	12.34800410
219.41321114	0.00000000	94.12618034	0.00000000	-0.63490867	-0.77258720	0.00000000	0.99740801	-0.07195320	0.00000000	125.28703080
