DEPTH d	VALUE d
1374.86000000	253.69997592
1375.05000000	254.35803347
1375.29500000	254.69412932
1375.54000000	251.32306458
1386.61000000	242.16775282
1386.86000000	222.50176678
1394.52500000	220.03867525
1396.91000000	228.92503362
1397.63000000	234.69235545
1398.29000000	237.71185331
1400.35000000	239.82703344
1402.08000000	240.23677531
1403.98000000	240.11434805
1407.54500000	242.05373818
1411.21000000	244.36783177
1412.75000000	244.58381250
1413.06500000	245.23257128
1413.53000000	243.47013826
1413.84000000	243.32201820
1416.05000000	241.46786249
1418.10000000	242.83894886
1418.25000000	242.38374459
1421.61000000	243.73841864
1425.26500000	244.28650015
1429.26000000	246.71943058
1430.10000000	247.58276066
1430.31000000	246.58355557
1431.24500000	246.36173129
1431.49000000	247.03149306
1432.03500000	246.23557153
1432.64000000	247.03229503
1435.45000000	244.74502891
1450.78000000	244.08375247
1451.16000000	240.59023116
1451.44000000	242.14870606
1451.59000000	241.07452757
1456.06000000	240.98367743
1456.69000000	240.72791950
1457.32000000	240.39867588
1463.02000000	239.81146922
1464.70000000	239.78362899
1468.64000000	238.47617000
1468.83000000	239.05050828
1469.20000000	240.36669608
1469.40500000	239.90960365
1469.61000000	239.22587658
1470.50000000	240.14505424
1470.89000000	240.57266469
1471.30000000	241.46407233
1479.17500000	245.36623673
1479.57000000	246.10006160
1486.71000000	245.28807598
1493.85000000	241.45238444
1500.16000000	240.91552020
1501.47500000	244.14038138
1502.79000000	242.84501568
1508.17000000	238.72356333
1508.52000000	237.38724715
1509.31500000	239.11163767
1509.76000000	239.74805516
1515.37000000	240.81865010
1515.99000000	240.81749098
1516.61000000	239.67324785
1516.72000000	239.53210779
1516.83000000	240.52694814
1518.36000000	240.99689636
1520.04000000	242.03634552
1524.39000000	241.65261079
1525.01500000	242.30166137
1527.43000000	242.06000277
1529.36000000	243.54157395
1529.54500000	246.56822372
1529.68000000	246.23722667
1534.41500000	245.44212609
1539.15000000	246.10043817
1539.98500000	245.63787828
1540.82000000	245.86890568
1541.11000000	250.15043956
1542.20500000	248.44460958
1546.09500000	246.57154292
1548.89000000	247.59031891
1551.80500000	248.24899644
1553.53000000	248.35200248
1553.66500000	247.81179464
1553.80000000	245.43272128
1556.28000000	245.64841346
1556.45000000	246.16630079
1556.68000000	244.14477009
1557.46000000	245.65205911
1559.37500000	246.14427634
1561.39000000	245.25602648
1565.39500000	247.90000809
1566.51000000	249.90317661
1568.08000000	248.97296571
1569.32500000	248.52221024
1570.17000000	248.27719322
1570.74500000	248.19954014
1572.07500000	248.62962295
1573.24000000	249.98821511
1573.51000000	249.76677228
1574.11500000	251.19749750
1574.58500000	249.66264259
1575.32000000	248.76226752
1575.48000000	244.85295991
1589.49500000	240.60855617
1590.02000000	240.31874069
1590.70500000	236.26484500
1591.71000000	235.47851646
1597.30000000	236.40824659
1598.28500000	234.73707890
1598.49500000	237.38771965
1599.36500000	240.57249107
1599.61000000	241.76224522
1600.00000000	242.45938008
1608.12500000	244.13770144
1608.47000000	244.87086137
1610.05500000	245.24620127
1611.14000000	247.71430681
1611.28000000	248.21250553
1611.46000000	248.14012389
1611.66500000	247.52187243
1611.82000000	245.97076792
1612.78000000	243.55950848
1618.08000000	239.67037271
1623.43000000	240.19872379
1628.84000000	238.30774077
1629.10000000	238.37252647
1629.36000000	238.97481079
1629.95000000	238.49549864
1630.54000000	237.90570924
1631.57000000	237.99042808
1634.35000000	240.96380527
1640.68000000	237.82965891
1643.35000000	237.03130149
1644.39500000	237.32626520
1645.64000000	236.62306454
1645.90000000	233.80740357
1657.39000000	233.30898889
1664.41000000	234.14633297
1664.56000000	230.16462394
1683.64000000	215.97821897
1688.95000000	222.32666749
1689.95000000	227.52040924
1690.95000000	226.58063231
1692.60000000	228.43628167
1701.14500000	232.17397777
1708.04000000	233.79353589
1717.23000000	230.52863360
1719.45000000	233.35602551
1723.52500000	231.23774778
1727.60000000	232.93794365
1732.42000000	227.72392326
1737.24000000	228.34885673
1744.83000000	232.31070289
1747.60000000	236.26895376
1750.79000000	236.44513781
1753.98000000	235.53429779
1754.77000000	233.95713600
1755.56000000	235.10132410
1757.29000000	231.97671561
1759.02000000	232.16010644
1764.50500000	235.64957023
1770.12000000	235.67707886
1773.52000000	238.03656917
1781.18000000	238.73172549
1781.60000000	237.77483921
1781.70500000	238.80016315
1782.66000000	240.32014280
1782.80500000	240.64176044
1782.95000000	241.16346784
1783.44000000	240.33823559
1783.93000000	240.56769664
1784.19000000	241.00972097
1784.56000000	244.13565882
