ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0686	192.90603682	13.61916143	192.90603682	13.16020297	-0.21707265	-0.94733029	-0.23546715	-0.21748696	-0.94913840	-0.22767458	0.45895846	0.21064287
W_TST_0687	192.90603682	13.61916143	192.90603682	7.08940424	-0.21707265	-0.94733029	-0.23546715	-0.22164524	-0.96728558	-0.12341796	6.52975720	42.63772904
W_TST_0688	192.90603682	13.61916143	192.90603682	26.44227423	-0.21707265	-0.94733029	-0.23546715	-0.19998642	-0.87276398	-0.44529594	12.82311280	164.43222178
W_TST_0689	192.90603682	13.61916143	192.90603682	11.65060567	-0.21707265	-0.94733029	-0.23546715	-0.21875114	-0.95465541	-0.20194304	1.96855577	3.87521181
W_TST_0690	192.90603682	13.61916143	192.90603682	18.85165054	-0.21707265	-0.94733029	-0.23546715	-0.21137181	-0.92245114	-0.32311894	5.23248911	27.37894226
W_TST_0691	192.90603682	13.61916143	192.90603682	28.30725377	-0.21707265	-0.94733029	-0.23546715	-0.19664369	-0.85817593	-0.47419968	14.68809233	215.74005632
W_TST_0692	192.90603682	13.61916143	192.90603682	14.86069687	-0.21707265	-0.94733029	-0.23546715	-0.21588217	-0.94213487	-0.25646983	1.24153543	1.54141023
W_TST_0693	192.90603682	13.61916143	192.90603682	41.49281213	-0.21707265	-0.94733029	-0.23546715	-0.16729994	-0.73011637	-0.66252608	27.87365069	776.94040283
W_TST_0694	192.90603682	13.61916143	192.90603682	56.68899231	-0.21707265	-0.94733029	-0.23546715	-0.12266166	-0.53530973	-0.83570187	43.06983088	1855.01033164
W_TST_0695	192.90603682	13.61916143	192.90603682	20.92654763	-0.21707265	-0.94733029	-0.23546715	-0.20862026	-0.91044308	-0.35717082	7.30738620	53.39789303
W_TST_0696	192.90603682	13.61916143	192.90603682	15.82496182	-0.21707265	-0.94733029	-0.23546715	-0.21488758	-0.93779441	-0.27269943	2.20580038	4.86555533
W_TST_0697	192.90603682	13.61916143	192.90603682	6.34586083	-0.21707265	-0.94733029	-0.23546715	-0.22198429	-0.96876526	-0.11052986	7.27330061	52.90090174
W_TST_0698	192.90603682	13.61916143	192.90603682	25.53259908	-0.21707265	-0.94733029	-0.23546715	-0.20154022	-0.87954498	-0.43102456	11.91343764	141.92999646
W_TST_0699	192.90603682	13.61916143	192.90603682	37.64083958	-0.21707265	-0.94733029	-0.23546715	-0.17686294	-0.77185045	-0.61070974	24.02167814	577.04102077
W_TST_0700	192.90603682	13.61916143	192.90603682	42.93545156	-0.21707265	-0.94733029	-0.23546715	-0.16352141	-0.71362647	-0.68117400	29.31629012	859.44486667
W_TST_0701	192.90603682	13.61916143	192.90603682	52.17681860	-0.21707265	-0.94733029	-0.23546715	-0.13696591	-0.59773516	-0.78990697	38.55765717	1486.69292629
W_TST_0702	192.90603682	13.61916143	192.90603682	24.29031629	-0.21707265	-0.94733029	-0.23546715	-0.20358002	-0.88844688	-0.41136031	10.67115485	113.87354589
W_TST_0703	192.90603682	13.61916143	192.90603682	37.39347995	-0.21707265	-0.94733029	-0.23546715	-0.17745018	-0.77441322	-0.60728543	23.77431852	565.21822108
W_TST_0704	192.90603682	13.61916143	192.90603682	44.33094395	-0.21707265	-0.94733029	-0.23546715	-0.15976772	-0.69724490	-0.69880171	30.71178251	943.21358519
W_TST_0705	192.90603682	13.61916143	192.90603682	42.55416203	-0.21707265	-0.94733029	-0.23546715	-0.16453026	-0.71802916	-0.67628686	28.93500059	837.23425922
W_TST_0706	192.90603682	13.61916143	192.90603682	22.25869271	-0.21707265	-0.94733029	-0.23546715	-0.20670925	-0.90210318	-0.37878903	8.63953128	74.64150073
W_TST_0707	192.90603682	13.61916143	192.90603682	13.15962151	-0.21707265	-0.94733029	-0.23546715	-0.21748748	-0.94914065	-0.22766470	0.45953993	0.21117694
W_TST_0708	192.90603682	13.61916143	192.90603682	7.40334073	-0.21707265	-0.94733029	-0.23546715	-0.22149087	-0.96661191	-0.12885342	6.21582071	38.63642706
W_TST_0709	192.90603682	13.61916143	192.90603682	34.59793580	-0.21707265	-0.94733029	-0.23546715	-0.18385440	-0.80236196	-0.56781409	20.97877437	440.10897399
W_TST_0710	192.90603682	13.61916143	192.90603682	40.30942235	-0.21707265	-0.94733029	-0.23546715	-0.17032036	-0.74329786	-0.64691519	26.69026092	712.37002790
W_TST_0711	192.90603682	13.61916143	192.90603682	25.35591777	-0.21707265	-0.94733029	-0.23546715	-0.20183613	-0.88083635	-0.42824000	11.73675634	137.75144932
W_TST_0712	192.90603682	13.61916143	192.90603682	36.12643320	-0.21707265	-0.94733029	-0.23546715	-0.18040609	-0.78731313	-0.58956906	22.50727177	506.57728254
W_TST_0713	192.90603682	13.61916143	192.90603682	23.88526319	-0.21707265	-0.94733029	-0.23546715	-0.20422446	-0.89125931	-0.40490642	10.26610175	105.39284517
W_TST_0714	192.90603682	13.61916143	192.90603682	10.97353085	-0.21707265	-0.94733029	-0.23546715	-0.21926886	-0.95691481	-0.19035549	2.64563059	6.99936122
